ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
829715,370988,399476,369976,20,0,0,-1,39,0,220,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1339540,370988,472680,446554,41,0,0,-1,103,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1339540,370988,830522,803768,39,0,0,-1,131,0,231,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1086695,370988,736435,702836,38,0,0,-1,97,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1086695,370988,288382,268667,26,0,0,-1,69,0,225,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
997927,370988,431067,399818,22,0,0,-1,82,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
997927,370988,533779,516728,15,0,0,-1,52,0,233,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1072377,370988,750253,707560,60,0,0,-1,200,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1072377,370988,261556,231048,16,0,0,-1,58,0,341,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
861416,370988,226581,206205,35,0,0,-1,101,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
861416,370988,541247,523794,26,0,0,-1,61,0,226,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
944448,370988,409846,387852,41,0,0,-1,402,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
944448,370988,498315,469005,29,0,0,-1,91,0,586,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1174756,370988,849840,804064,50,0,0,-1,93,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1174756,370988,298411,278974,15,0,0,-1,69,0,225,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
873547,370988,249819,228603,37,0,0,-1,90,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
873547,370988,552824,507020,20,0,0,-1,86,0,224,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
983100,370988,583894,531395,147,0,0,-1,260,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
983100,370988,325007,303481,27,0,0,-1,81,0,413,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1033206,370988,234683,188967,31,0,0,-1,124,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1033206,370988,751049,716749,27,0,0,-1,100,0,255,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1065670,370988,736578,705944,41,0,0,-1,189,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1065670,370988,265733,240626,24,0,0,-1,70,0,328,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1153911,370988,368008,340071,60,0,0,-1,179,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1153911,370988,760030,736570,40,0,0,-1,64,0,316,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1242261,370988,325063,298504,26,0,0,-1,77,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1242261,370988,876716,856007,41,0,0,-1,71,0,237,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1066821,370988,731889,698194,37,0,0,-1,112,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1066821,370988,268706,240780,39,0,0,-1,81,0,243,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1100413,370988,746257,713162,39,0,0,-1,84,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1100413,370988,302637,269583,15,0,0,-1,73,0,228,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
992019,370988,250190,228211,43,0,0,-1,119,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
992019,370988,694392,660991,42,0,0,-1,139,0,249,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
851547,370988,234886,215786,58,0,0,-1,81,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
851547,370988,534763,518562,17,0,0,-1,40,0,233,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
882294,370988,593569,560293,65,0,0,-1,214,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
